id,name,type,description,rarity,defense,resistance,series,skills,slots
"ARMOR_ID_0064","波衣龙头盔","helm","使用波衣龙素材制作的头部防具。鳍被加工成羽饰。它会将森林的意志传达给佩戴者。","4","26","[-1,4,-3,0,0]","波衣龙","HunterSkill_177,1,HunterSkill_170,1,HunterSkill_059,1,HunterSkill_138,1","0,0,0"
"ARMOR_ID_0065","波衣龙铠甲","body","使用波衣龙素材制作的身体防具。鳞皮被加工成胸部装甲，有着仿佛与森林同在的贴身感。","4","26","[-1,4,-3,0,0]","波衣龙","HunterSkill_177,1,HunterSkill_170,1,HunterSkill_059,1","1,0,0"
"ARMOR_ID_0066","波衣龙腕甲","arm","使用波衣龙素材制作的臂部防具。细小石子串成的装饰带来高度的集中力。","4","26","[-1,4,-3,0,0]","波衣龙","HunterSkill_177,1,HunterSkill_170,1,HunterSkill_138,1","1,0,0"
"ARMOR_ID_0067","波衣龙腰甲","waist","使用波衣龙素材制作的腰部防具。长长的腰巾蕴含着森林的气息，吸收各种冲击。","4","26","[-1,4,-3,0,0]","波衣龙","HunterSkill_177,1,HunterSkill_170,1,HunterSkill_138,1,HunterSkill_088,1","0,0,0"
"ARMOR_ID_0068","波衣龙护腿","leg","使用波衣龙素材制作的脚部防具。足部的细致纹路据说代表着森林的加护。","4","26","[-1,4,-3,0,0]","波衣龙","HunterSkill_177,1,HunterSkill_170,1,HunterSkill_059,1","0,0,0"
"ARMOR_ID_0069","铸铁头盔","helm","以拥有美丽金属光泽的矿石制作而成的头部防具。能够彻底包覆头部。","3","16","[-2,0,3,-1,0]","铸铁","HunterSkill_068,1","0,0,0"
"ARMOR_ID_0070","铸铁铠甲","body","以拥有美丽金属光泽的矿石制作而成的身体防具。毫无缝隙的装甲加上色彩搭配，十分好看。","3","16","[-2,0,3,-1,0]","铸铁","HunterSkill_073,1","0,0,0"
"ARMOR_ID_0071","铸铁腕甲","arm","以拥有美丽金属光泽的矿石制作而成的臂部防具。以精密加工的矿石彻底保护手臂。","3","16","[-2,0,3,-1,0]","铸铁","HunterSkill_086,1","0,0,0"
"ARMOR_ID_0072","铸铁腰甲","waist","以拥有美丽金属光泽的矿石制作而成的腰部防具。是兼具高雅设计和工房最先进技术的杰作。","3","16","[-2,0,3,-1,0]","铸铁","HunterSkill_068,1","0,0,0"
"ARMOR_ID_0073","铸铁护腿","leg","以拥有美丽金属光泽的矿石制作而成的脚部防具。虽是金属构造，但经过改良后利于行动。","3","16","[-2,0,3,-1,0]","铸铁","HunterSkill_073,1","0,0,0"
"ARMOR_ID_0074","盔速龙铠甲","body","使用盔速龙素材制作的身体防具。厚重的甲壳搭配纤细的装饰，深受行家喜爱。","3","16","[4,-2,0,-2,0]","盔速龙","HunterSkill_166,1,HunterSkill_102,2","0,0,0"
"ARMOR_ID_0075","沼喷龙头盔","helm","使用沼喷龙素材制作的头部防具。为了抵御素材自带的毒性，必须佩戴口罩。","3","18","[0,-3,0,0,1]","沼喷龙","HunterSkill_164,1,HunterSkill_098,1","0,0,0"
"ARMOR_ID_0076","沼喷龙铠甲","body","使用沼喷龙素材制作的身体防具。披肩内充满了毒液，但并不会泄漏。应该不会……","3","18","[0,-3,0,0,1]","沼喷龙","HunterSkill_164,1,HunterSkill_098,1","0,0,0"
"ARMOR_ID_0077","沼喷龙腕甲","arm","使用沼喷龙素材制作的臂部防具。虽然可以利用尖爪注入毒素，但很难在狩猎中使用。","3","18","[0,-3,0,0,1]","沼喷龙","HunterSkill_164,1,HunterSkill_098,1,HunterSkill_083,1","0,0,0"
"ARMOR_ID_0078","沼喷龙腰甲","waist","使用沼喷龙素材制作的腰部防具。装配了使用毒液所需的各种器具。","3","18","[0,-3,0,0,1]","沼喷龙","HunterSkill_164,1,HunterSkill_098,1,HunterSkill_083,1","0,0,0"
"ARMOR_ID_0079","沼喷龙护腿","leg","使用沼喷龙素材制作的脚部防具。需要小心，不要弄破备用的毒液包。","3","18","[0,-3,0,0,1]","沼喷龙","HunterSkill_164,1,HunterSkill_098,1","0,0,0"
"ARMOR_ID_0080","煌雷龙头盔","helm","使用煌雷龙素材制作的头部防具。冲天耸立的角，体现了煌雷龙的孤高精神。","4","26","[0,-2,4,-3,0]","煌雷龙","HunterSkill_176,1,HunterSkill_170,1,HunterSkill_063,1","0,0,0"
"ARMOR_ID_0081","煌雷龙铠甲","body","使用煌雷龙素材制作的身体防具。独特的甲壳经过复杂组合后，使其获得了惊人的防御力。","4","26","[0,-2,4,-3,0]","煌雷龙","HunterSkill_176,1,HunterSkill_170,1,HunterSkill_025,1","0,0,0"
"ARMOR_ID_0082","煌雷龙腕甲","arm","使用煌雷龙素材制作的臂部防具。微微带电，因此抓取物品时宛如有吸力一般妥帖。","4","26","[0,-2,4,-3,0]","煌雷龙","HunterSkill_176,1,HunterSkill_170,1,HunterSkill_063,1","1,0,0"
"ARMOR_ID_0083","煌雷龙腰甲","waist","使用煌雷龙素材制作的腰部防具。微光闪烁的带扣令人心生敬畏。","4","26","[0,-2,4,-3,0]","煌雷龙","HunterSkill_176,1,HunterSkill_170,1,HunterSkill_025,1","1,0,0"
"ARMOR_ID_0084","煌雷龙护腿","leg","使用煌雷龙素材制作的脚部防具。装甲有紫电缠绕，能缓和着地及攻击等带来的各种冲击。","4","26","[0,-2,4,-3,0]","煌雷龙","HunterSkill_176,1,HunterSkill_170,1,HunterSkill_063,1,HunterSkill_025,1","0,0,0"
"ARMOR_ID_0085","血眠虫头饰","helm","使用血眠虫素材制作的头部防具。纤薄而柔韧的甲壳反射出妖艳的光泽。","3","16","[-5,0,0,3,3]","血眠虫","HunterSkill_162,1,HunterSkill_085,1","0,0,0"
"ARMOR_ID_0086","影蜘蛛头盔","helm","使用影蜘蛛素材制作的头部防具。精密的设计和扎实的技术赋予了其很高的防御力。","3","20","[-2,2,-2,1,2]","影蜘蛛","HunterSkill_162,1,HunterSkill_116,1","0,0,0"
"ARMOR_ID_0087","影蜘蛛铠甲","body","使用影蜘蛛素材制作的身体防具。采用先进的技术，使其惊人地轻巧无比。","3","20","[-2,2,-2,1,2]","影蜘蛛","HunterSkill_162,1,HunterSkill_189,1,HunterSkill_083,1","0,0,0"
"ARMOR_ID_0088","影蜘蛛腕甲","arm","使用影蜘蛛素材制作的臂部防具。能将指尖细微的动作传递给武器。","3","20","[-2,2,-2,1,2]","影蜘蛛","HunterSkill_162,1,HunterSkill_116,1","0,0,0"
"ARMOR_ID_0089","影蜘蛛腰甲","waist","使用影蜘蛛素材制作的腰部防具。是工房的倾力之作，也具备很高的艺术价值。","3","20","[-2,2,-2,1,2]","影蜘蛛","HunterSkill_162,1,HunterSkill_189,1,HunterSkill_085,1","0,0,0"
"ARMOR_ID_0090","影蜘蛛护腿","leg","使用影蜘蛛素材制作的脚部防具。兼具功能美与高机动力的佳作。","3","20","[-2,2,-2,1,2]","影蜘蛛","HunterSkill_162,1,HunterSkill_116,1","0,0,0"
"ARMOR_ID_0091","风铗龙头盔","helm","使用风铗龙素材制作的头部防具。据说戴上这顶头盔的人会时刻感受到风，与风同在。","3","22","[-3,2,-2,3,0]","风铗龙","HunterSkill_166,1,HunterSkill_075,1,HunterSkill_070,1","0,0,0"
"ARMOR_ID_0092","风铗龙铠甲","body","使用风铗龙素材制作的身体防具。模仿了异国武侠之士所钟爱的服装款式。","3","22","[-3,2,-2,3,0]","风铗龙","HunterSkill_166,1,HunterSkill_075,1,HunterSkill_070,1","0,0,0"
"ARMOR_ID_0093","风铗龙腕甲","arm","使用风铗龙素材制作的臂部防具。指尖部分能呼唤风，连对手都能感受到清爽的风。","3","22","[-3,2,-2,3,0]","风铗龙","HunterSkill_166,1,HunterSkill_075,1,HunterSkill_079,1","0,0,0"
"ARMOR_ID_0094","风铗龙腰甲","waist","使用风铗龙素材制作的腰部防具。修长优美的腰巾轻轻裹挟着风，能吸收受到的冲击。","3","22","[-3,2,-2,3,0]","风铗龙","HunterSkill_166,1,HunterSkill_075,1,HunterSkill_079,1","0,0,0"
"ARMOR_ID_0095","风铗龙护腿","leg","使用风铗龙素材制作的脚部防具。其结构注重行动方便，使穿着者能轻快地踏风而行。","3","22","[-3,2,-2,3,0]","风铗龙","HunterSkill_166,1,HunterSkill_075,1,HunterSkill_079,1","0,0,0"
"ARMOR_ID_0096","赫猿兽头盔","helm","使用赫猿兽素材制作的头部防具。据说一旦戴上，体内深处便会涌起炽热的情感。","3","24","[3,-3,1,-2,0]","赫猿兽","HunterSkill_168,1,HunterSkill_091,1,HunterSkill_095,1","0,0,0"
"ARMOR_ID_0097","赫猿兽铠甲","body","使用赫猿兽素材制作的身体防具。火焰装饰蕴藏着炽热，仿佛要将眼前的敌人焚烧殆尽。","3","24","[3,-3,1,-2,0]","赫猿兽","HunterSkill_168,1,HunterSkill_091,1","0,0,0"
"ARMOR_ID_0098","赫猿兽腕甲","arm","使用赫猿兽素材制作的臂部防具。生动再现了赫猿兽无数次捶向地面的巨拳。","3","24","[3,-3,1,-2,0]","赫猿兽","HunterSkill_168,1,HunterSkill_095,1,HunterSkill_109,1","0,0,0"
"ARMOR_ID_0099","赫猿兽腰甲","waist","使用赫猿兽素材制作的腰部防具。据说有抑制暴怒失控的作用。","3","24","[3,-3,1,-2,0]","赫猿兽","HunterSkill_168,1,HunterSkill_095,1,HunterSkill_087,1","0,0,0"
"ARMOR_ID_0100","赫猿兽护腿","leg","使用赫猿兽素材制作的脚部防具。据说踩踏过的大地会因为热量而开始震颤。","3","24","[3,-3,1,-2,0]","赫猿兽","HunterSkill_168,1,HunterSkill_091,1,HunterSkill_087,1","0,0,0"
"ARMOR_ID_0101","狱焰蛸头盔","helm","使用狱焰蛸素材制作的头部防具。透过面具看到的世界，充斥着黯之火焰与怨念。","4","26","[5,-4,0,1,0]","狱焰蛸","HunterSkill_178,1,HunterSkill_170,1,HunterSkill_060,1","1,0,0"
"ARMOR_ID_0102","狱焰蛸铠甲","body","使用狱焰蛸素材制作的身体防具。触手组成的披风宛如诅咒化作了实体。","4","26","[5,-4,0,1,0]","狱焰蛸","HunterSkill_178,1,HunterSkill_170,1,HunterSkill_060,1,HunterSkill_071,1","0,0,0"
"ARMOR_ID_0103","狱焰蛸腕甲","arm","使用狱焰蛸素材制作的臂部防具。佩戴后的触感仿佛触碰到了黑暗本身。","4","26","[5,-4,0,1,0]","狱焰蛸","HunterSkill_178,1,HunterSkill_170,1,HunterSkill_071,1","1,0,0"
"ARMOR_ID_0104","狱焰蛸腰甲","waist","使用狱焰蛸素材制作的腰部防具。棘刺和尖牙的装饰皆被附上了独特咒法。","4","26","[5,-4,0,1,0]","狱焰蛸","HunterSkill_178,1,HunterSkill_170,1,HunterSkill_060,1","1,0,0"
"ARMOR_ID_0105","狱焰蛸护腿","leg","使用狱焰蛸素材制作的脚部防具。穿上后即可自由穿行于火海之中。","4","26","[5,-4,0,1,0]","狱焰蛸","HunterSkill_178,1,HunterSkill_170,1,HunterSkill_071,1","1,0,0"
"ARMOR_ID_0106","护鹭鹰龙腰甲","waist","使用护鹭鹰龙素材制作的腰部防具。雪白的长羽毛带着淡淡的光芒，非常美丽。","4","22","[0,0,4,0,-3]","护鹭鹰龙","HunterSkill_172,1,HunterSkill_103,1","1,0,0"
"ARMOR_ID_0107","护辟兽头盔","helm","使用护辟兽素材制作的头部防具。戴上它的人会被难以形容的渴望侵袭。","4","26","[-3,2,-1,-2,2]","护辟兽","HunterSkill_175,1,HunterSkill_172,1,HunterSkill_100,1","1,0,0"
"ARMOR_ID_0108","护辟兽铠甲","body","使用护辟兽素材制作的身体防具。穿着时体内会涌现出不同于平时的活力和使命感。","4","26","[-3,2,-1,-2,2]","护辟兽","HunterSkill_175,1,HunterSkill_172,1,HunterSkill_100,1,HunterSkill_120,1","0,0,0"
"ARMOR_ID_0109","护辟兽腕甲","arm","使用护辟兽素材制作的臂部防具。如果不频繁活动双臂，就会觉得静不下心来。","4","26","[-3,2,-1,-2,2]","护辟兽","HunterSkill_175,1,HunterSkill_172,1,HunterSkill_024,1","1,0,0"
"ARMOR_ID_0110","护辟兽腰甲","waist","使用护辟兽素材制作的腰部防具。白色部分即使受损，也会在不知不觉中慢慢修复。","4","26","[-3,2,-1,-2,2]","护辟兽","HunterSkill_175,1,HunterSkill_172,1,HunterSkill_100,1,HunterSkill_024,1","0,0,0"
"ARMOR_ID_0111","护辟兽护腿","leg","使用护辟兽素材制作的脚部防具。用力时，周围的白色部分就会发出淡淡的光。","4","26","[-3,2,-1,-2,2]","护辟兽","HunterSkill_175,1,HunterSkill_172,1,HunterSkill_024,1,HunterSkill_120,1","0,0,0"
"ARMOR_ID_0112","护火龙头盔","helm","使用护火龙素材制作的头部防具。戴上它的人会被难以形容的渴望侵袭。","4","26","[3,1,-2,1,-5]","护火龙","HunterSkill_180,1,HunterSkill_172,1,HunterSkill_062,1,HunterSkill_139,1","0,0,0"
"ARMOR_ID_0113","护火龙铠甲","body","使用护火龙素材制作的身体防具。穿着时体内会涌现出不同于平时的活力和使命感。","4","26","[3,1,-2,1,-5]","护火龙","HunterSkill_180,1,HunterSkill_172,1,HunterSkill_139,1","1,0,0"
"ARMOR_ID_0114","护火龙腕甲","arm","使用护火龙素材制作的臂部防具。如果不频繁活动双臂，就会觉得静不下心来。","4","26","[3,1,-2,1,-5]","护火龙","HunterSkill_180,1,HunterSkill_172,1,HunterSkill_062,1","1,0,0"
